RAW_INGREDIENT_NAME,MASTERED_INGREDIENT_NAME
baking powder,baking powder
baking powder sugar,baking powder
bread flour,bread flour
brown sugar,brown sugar
brown sugar a,brown sugar
dark brown sugar,brown sugar
packed dark brown sugar,brown sugar
butter and oil,butter
butter oil,butter
salted butter,butter
stick unsalted butter cold,butter
tablepoons unsalted butter,butter
talespoons unsalted butter,butter
tbsp unsalted butter,butter
unsalted butter,butter
unsalted butter and for coating dough top,butter
unsalted butter cooled,butter
buttermilk,buttermilk
buttermilk at room temperature,buttermilk
buttermilk milk,buttermilk
buttermilk or plain low fat yogurt,buttermilk
cultured low fat buttermilk shy,buttermilk
low fat buttermilk,buttermilk
cream cheese butter,cream cheese
egg,egg
heavy cream,heavy cream
teaspoon lemon,lemon
extra virgin olive oil,olive oil
olive oil,olive oil
olive oil salt,olive oil
salt,salt
salt and pepper,salt and pepper
raw cane sugar,sugar
sugar,sugar
vanilla extract,vanilla extract
cool water,water
water,water
yeast,yeast
